Term,
"død",
"bane",
"manddød",
"slog",
"ihjel",
"ihjelslog",
"dræbt",
"livs",
"fredløse",
"sagesløse",
"lig",
"dræbte",
"slagsmål",
"sårmål",
"myrdet",
"mord",
"dødfundet",
"banesår",
"fredløs",
"dødelige",
"manddrab",
"fredløsmål",
"dødt",
"banemand",
"æresløs",
"såret",
"overfald",
"trussel",
"dødssår",
"dødes",
"manddræberen",
"sønderslået",
"sønderrevet",
"sønderlade",
"ihjelstukket",
"ihjelskød",
"ihjelskudt",
"manddræberens",
"livsfare",
"ihjelstak",
"ihjelslaget",
"dødfunden",
"manddræber",
"forgive",
"dræberens",
"dræbe",
"banemænd",
"aflives",
"afhuggen",
"afhug",
"udød",
"sønderslog",
"nedhugge",
"meddræber",
"manddræbers",
"manddrabs",
"henrettelse",
"henrette",
"fredløst",
"dødsskade",
"dødskudt",
"dødsår",
"dødeligt",
"dræbtes",
"dræbes",
"dræber",
"ihjelslået",
"nødværge",